qid,query,docno,docid,score,rank
156493,do goldfish grow,6775077,6775077,0.8639623,66
156493,do goldfish grow,2949802,2949802,0.863952,67
156493,do goldfish grow,349644,349644,0.8637033,68
156493,do goldfish grow,1034435,1034435,0.86360455,69
156493,do goldfish grow,750111,750111,0.86351305,70
156493,do goldfish grow,95514,95514,0.8634838,71
156493,do goldfish grow,1277721,1277721,0.86329377,72
156493,do goldfish grow,1939298,1939298,0.863128,73
156493,do goldfish grow,349640,349640,0.86281323,74
156493,do goldfish grow,4940235,4940235,0.86258364,75
156493,do goldfish grow,911795,911795,0.8624156,76
156493,do goldfish grow,4588176,4588176,0.8619987,77
156493,do goldfish grow,5530082,5530082,0.8618959,78
156493,do goldfish grow,7371081,7371081,0.86188996,79
156493,do goldfish grow,892006,892006,0.8618132,80
156493,do goldfish grow,8725855,8725855,0.86137223,81
156493,do goldfish grow,4940232,4940232,0.86125684,82
156493,do goldfish grow,59101,59101,0.8611783,83
156493,do goldfish grow,4940228,4940228,0.8611735,84
156493,do goldfish grow,7063369,7063369,0.86057293,85
156493,do goldfish grow,2378080,2378080,0.86033076,86
156493,do goldfish grow,6983821,6983821,0.86021936,87
156493,do goldfish grow,6775073,6775073,0.86010635,88
156493,do goldfish grow,1277724,1277724,0.8596403,89
156493,do goldfish grow,1101607,1101607,0.859619,90
156493,do goldfish grow,2949801,2949801,0.85948,91
156493,do goldfish grow,2236388,2236388,0.8588694,92
156493,do goldfish grow,8266015,8266015,0.8583238,93
156493,do goldfish grow,349641,349641,0.85815537,94
156493,do goldfish grow,911790,911790,0.8581518,95
156493,do goldfish grow,4131138,4131138,0.85811746,96
156493,do goldfish grow,8266017,8266017,0.8580553,97
156493,do goldfish grow,7371078,7371078,0.85789967,98
156493,do goldfish grow,4527706,4527706,0.85789955,99
156493,do goldfish grow,5555919,5555919,0.8578656,100
156493,do goldfish grow,4623707,4623707,0.85762167,101
156493,do goldfish grow,5506864,5506864,0.857587,102
156493,do goldfish grow,1321890,1321890,0.85757875,103
156493,do goldfish grow,2317807,2317807,0.8575071,104
156493,do goldfish grow,1347266,1347266,0.8572482,105
156493,do goldfish grow,1172284,1172284,0.8570552,106
156493,do goldfish grow,2378078,2378078,0.856953,107
156493,do goldfish grow,7663269,7663269,0.85687053,108
156493,do goldfish grow,2612488,2612488,0.85666883,109
156493,do goldfish grow,4369922,4369922,0.8565242,110
156493,do goldfish grow,7371075,7371075,0.85635287,111
156493,do goldfish grow,4588180,4588180,0.8560389,112
156493,do goldfish grow,5479187,5479187,0.8556489,113
156493,do goldfish grow,8792546,8792546,0.8556154,114
156493,do goldfish grow,4940229,4940229,0.85558015,115
156493,do goldfish grow,4396054,4396054,0.8553057,116
156493,do goldfish grow,6139387,6139387,0.85527617,117
156493,do goldfish grow,3218249,3218249,0.8552294,118
156493,do goldfish grow,6139383,6139383,0.85503334,119
1110199,what is wifi vs bluetooth,3838638,3838638,0.90709746,0
1110199,what is wifi vs bluetooth,8160519,8160519,0.89696467,1
1110199,what is wifi vs bluetooth,8160518,8160518,0.8968352,2
1110199,what is wifi vs bluetooth,1901876,1901876,0.8967507,3
1110199,what is wifi vs bluetooth,4511137,4511137,0.88925445,4
1110199,what is wifi vs bluetooth,1901878,1901878,0.8837994,5
1110199,what is wifi vs bluetooth,1901879,1901879,0.8826682,6
1110199,what is wifi vs bluetooth,8160520,8160520,0.881672,7
1110199,what is wifi vs bluetooth,1901881,1901881,0.87951577,8
1110199,what is wifi vs bluetooth,6368891,6368891,0.87652993,9
1110199,what is wifi vs bluetooth,8160527,8160527,0.8758605,10
1110199,what is wifi vs bluetooth,5049363,5049363,0.87525964,11
1110199,what is wifi vs bluetooth,4057232,4057232,0.87498206,12
1110199,what is wifi vs bluetooth,4674430,4674430,0.87490493,13
1110199,what is wifi vs bluetooth,3838645,3838645,0.87473416,14
1110199,what is wifi vs bluetooth,8160521,8160521,0.87314725,15
1110199,what is wifi vs bluetooth,2474406,2474406,0.8724808,16
1110199,what is wifi vs bluetooth,5857921,5857921,0.8711371,17
1110199,what is wifi vs bluetooth,6056861,6056861,0.87070537,18
1110199,what is wifi vs bluetooth,6368887,6368887,0.87057006,19
1110199,what is wifi vs bluetooth,557956,557956,0.8691318,20
1110199,what is wifi vs bluetooth,5387204,5387204,0.8682841,21
1110199,what is wifi vs bluetooth,1901877,1901877,0.86809504,22
1110199,what is wifi vs bluetooth,712235,712235,0.8675778,23
1110199,what is wifi vs bluetooth,7221366,7221366,0.86633414,24
1110199,what is wifi vs bluetooth,3270584,3270584,0.86613077,25
1110199,what is wifi vs bluetooth,955120,955120,0.8652811,26
1110199,what is wifi vs bluetooth,618109,618109,0.8651613,27
1110199,what is wifi vs bluetooth,5627957,5627957,0.86480415,28
1110199,what is wifi vs bluetooth,8160522,8160522,0.8646426,29
1110199,what is wifi vs bluetooth,5857920,5857920,0.86464167,30
1110199,what is wifi vs bluetooth,3647394,3647394,0.8642757,31
1110199,what is wifi vs bluetooth,239444,239444,0.8638973,32
1110199,what is wifi vs bluetooth,2655849,2655849,0.8638661,33
1110199,what is wifi vs bluetooth,4511144,4511144,0.86368585,34
1110199,what is wifi vs bluetooth,2854609,2854609,0.86354893,35
1110199,what is wifi vs bluetooth,4800726,4800726,0.8634248,36
1110199,what is wifi vs bluetooth,712232,712232,0.86337626,37
1110199,what is wifi vs bluetooth,1592475,1592475,0.86324024,38
1110199,what is wifi vs bluetooth,7344200,7344200,0.86317915,39
1110199,what is wifi vs bluetooth,3515650,3515650,0.8624618,40
1110199,what is wifi vs bluetooth,7439380,7439380,0.8622541,41
1110199,what is wifi vs bluetooth,6573362,6573362,0.8622428,42
1110199,what is wifi vs bluetooth,8404306,8404306,0.86201286,43
1110199,what is wifi vs bluetooth,1901882,1901882,0.86173594,44
1110199,what is wifi vs bluetooth,2954989,2954989,0.8613113,45
1110199,what is wifi vs bluetooth,847931,847931,0.86121225,46
1110199,what is wifi vs bluetooth,7344201,7344201,0.8612094,47
1110199,what is wifi vs bluetooth,4624021,4624021,0.8608961,48
1110199,what is wifi vs bluetooth,7840255,7840255,0.86049664,49
1110199,what is wifi vs bluetooth,4558057,4558057,0.859891,50
1110199,what is wifi vs bluetooth,8160523,8160523,0.85984135,51
1110199,what is wifi vs bluetooth,627298,627298,0.8598387,52
1110199,what is wifi vs bluetooth,2655848,2655848,0.85975873,53
1110199,what is wifi vs bluetooth,5479,5479,0.8597535,54
1110199,what is wifi vs bluetooth,1778449,1778449,0.85968566,55
1110199,what is wifi vs bluetooth,6161010,6161010,0.859498,56
1110199,what is wifi vs bluetooth,4496257,4496257,0.85942626,57
1110199,what is wifi vs bluetooth,5387212,5387212,0.85914177,58
1110199,what is wifi vs bluetooth,4496260,4496260,0.859087,59
1110199,what is wifi vs bluetooth,712229,712229,0.8589501,60
1110199,what is wifi vs bluetooth,2655843,2655843,0.858853,61
1110199,what is wifi vs bluetooth,1809288,1809288,0.85883534,62
1110199,what is wifi vs bluetooth,2316525,2316525,0.8587229,63
1110199,what is wifi vs bluetooth,7409322,7409322,0.8584529,64
1110199,what is wifi vs bluetooth,986780,986780,0.8582693,65
1110199,what is wifi vs bluetooth,5074861,5074861,0.85787904,66
1110199,what is wifi vs bluetooth,6462667,6462667,0.85775924,67
1110199,what is wifi vs bluetooth,2854608,2854608,0.85771275,68
1110199,what is wifi vs bluetooth,1009248,1009248,0.8572931,69
1110199,what is wifi vs bluetooth,5857925,5857925,0.8572695,70
1110199,what is wifi vs bluetooth,5701621,5701621,0.85713124,71
1110199,what is wifi vs bluetooth,6594555,6594555,0.85648715,72
1110199,what is wifi vs bluetooth,7628037,7628037,0.85634327,73
1110199,what is wifi vs bluetooth,3519482,3519482,0.85624266,74
1110199,what is wifi vs bluetooth,2301117,2301117,0.8561891,75
1110199,what is wifi vs bluetooth,3865139,3865139,0.8561835,76
1110199,what is wifi vs bluetooth,1592477,1592477,0.85593474,77
1110199,what is wifi vs bluetooth,4800731,4800731,0.8558239,78
1110199,what is wifi vs bluetooth,5218014,5218014,0.85576487,79
1110199,what is wifi vs bluetooth,5516092,5516092,0.85574174,80
1110199,what is wifi vs bluetooth,2923633,2923633,0.8556786,81
1110199,what is wifi vs bluetooth,5738727,5738727,0.85537195,82
1110199,what is wifi vs bluetooth,2368577,2368577,0.8553528,83
1110199,what is wifi vs bluetooth,5857923,5857923,0.85520613,84
1110199,what is wifi vs bluetooth,4588784,4588784,0.8551228,85
1110199,what is wifi vs bluetooth,362174,362174,0.85510844,86
1110199,what is wifi vs bluetooth,5641717,5641717,0.85492516,87
1110199,what is wifi vs bluetooth,5857926,5857926,0.8548212,88
1110199,what is wifi vs bluetooth,3865142,3865142,0.85472393,89
1110199,what is wifi vs bluetooth,433926,433926,0.85470223,90
1110199,what is wifi vs bluetooth,8160524,8160524,0.85438085,91
1110199,what is wifi vs bluetooth,5387210,5387210,0.8543606,92
1110199,what is wifi vs bluetooth,5857927,5857927,0.85423017,93
1110199,what is wifi vs bluetooth,1809286,1809286,0.8541467,94
1110199,what is wifi vs bluetooth,8589811,8589811,0.8540904,95
1110199,what is wifi vs bluetooth,1321205,1321205,0.85392666,96
1110199,what is wifi vs bluetooth,2094434,2094434,0.8539245,97
1110199,what is wifi vs bluetooth,2657989,2657989,0.85390306,98
1110199,what is wifi vs bluetooth,328010,328010,0.8538439,99
1110199,what is wifi vs bluetooth,2301113,2301113,0.85383314,100
1110199,what is wifi vs bluetooth,1809283,1809283,0.8537736,101
1110199,what is wifi vs bluetooth,5641718,5641718,0.8536712,102
1110199,what is wifi vs bluetooth,8157172,8157172,0.8536629,103
1110199,what is wifi vs bluetooth,8404307,8404307,0.85350716,104
1110199,what is wifi vs bluetooth,5105295,5105295,0.85337996,105
1110199,what is wifi vs bluetooth,5387211,5387211,0.8533257,106
1110199,what is wifi vs bluetooth,8157174,8157174,0.8533118,107
1110199,what is wifi vs bluetooth,3169357,3169357,0.8530892,108
1110199,what is wifi vs bluetooth,2796199,2796199,0.8530372,109
1110199,what is wifi vs bluetooth,2958762,2958762,0.85280716,110
1110199,what is wifi vs bluetooth,2301115,2301115,0.8526564,111
1110199,what is wifi vs bluetooth,3238116,3238116,0.85264045,112
1110199,what is wifi vs bluetooth,421,421,0.85201716,113
1110199,what is wifi vs bluetooth,6734091,6734091,0.85196435,114
1110199,what is wifi vs bluetooth,1622904,1622904,0.85188746,115
1110199,what is wifi vs bluetooth,1144987,1144987,0.8518677,116
1110199,what is wifi vs bluetooth,5387208,5387208,0.85170996,117
1110199,what is wifi vs bluetooth,3272914,3272914,0.8517037,118
1110199,what is wifi vs bluetooth,3110637,3110637,0.85149455,119
1063750,why did the us volunterilay enter ww1,4337526,4337526,0.8888843,0
1063750,why did the us volunterilay enter ww1,4337527,4337527,0.8877462,1
1063750,why did the us volunterilay enter ww1,7952971,7952971,0.8863313,2
1063750,why did the us volunterilay enter ww1,8239877,8239877,0.88523865,3
1063750,why did the us volunterilay enter ww1,7571423,7571423,0.8824026,4
1063750,why did the us volunterilay enter ww1,8821735,8821735,0.8747748,5
1063750,why did the us volunterilay enter ww1,8239876,8239876,0.87460303,6
1063750,why did the us volunterilay enter ww1,2230089,2230089,0.8745891,7
1063750,why did the us volunterilay enter ww1,4834969,4834969,0.8738868,8
1063750,why did the us volunterilay enter ww1,2230090,2230090,0.87251425,9
1063750,why did the us volunterilay enter ww1,8821734,8821734,0.8722755,10
1063750,why did the us volunterilay enter ww1,7952965,7952965,0.87201107,11
1063750,why did the us volunterilay enter ww1,5956099,5956099,0.87182426,12
1063750,why did the us volunterilay enter ww1,7952967,7952967,0.87132555,13
1063750,why did the us volunterilay enter ww1,7837938,7837938,0.8687739,14
1063750,why did the us volunterilay enter ww1,7837936,7837936,0.86875844,15
1063750,why did the us volunterilay enter ww1,1923500,1923500,0.8686224,16
1063750,why did the us volunterilay enter ww1,7952964,7952964,0.867344,17
1063750,why did the us volunterilay enter ww1,4337532,4337532,0.86618793,18
1063750,why did the us volunterilay enter ww1,6127389,6127389,0.86510956,19
1063750,why did the us volunterilay enter ww1,2391460,2391460,0.86368984,20
1063750,why did the us volunterilay enter ww1,7778354,7778354,0.86314034,21
1063750,why did the us volunterilay enter ww1,118643,118643,0.8631282,22
1063750,why did the us volunterilay enter ww1,4788295,4788295,0.8630391,23
1063750,why did the us volunterilay enter ww1,4337528,4337528,0.8630029,24
1063750,why did the us volunterilay enter ww1,5956106,5956106,0.86277807,25
1063750,why did the us volunterilay enter ww1,2470328,2470328,0.86228406,26
1063750,why did the us volunterilay enter ww1,8170640,8170640,0.8611455,27
1063750,why did the us volunterilay enter ww1,8384971,8384971,0.8610015,28
1063750,why did the us volunterilay enter ww1,3327050,3327050,0.8604034,29
1063750,why did the us volunterilay enter ww1,4487118,4487118,0.8603321,30
1063750,why did the us volunterilay enter ww1,8821737,8821737,0.8582245,31
1063750,why did the us volunterilay enter ww1,4834974,4834974,0.85793185,32
1063750,why did the us volunterilay enter ww1,7952966,7952966,0.85760075,33
1063750,why did the us volunterilay enter ww1,2230091,2230091,0.8571923,34
1063750,why did the us volunterilay enter ww1,3327046,3327046,0.8569409,35
1063750,why did the us volunterilay enter ww1,7778348,7778348,0.85692024,36
1063750,why did the us volunterilay enter ww1,819283,819283,0.8559092,37
1063750,why did the us volunterilay enter ww1,5956100,5956100,0.85585606,38
1063750,why did the us volunterilay enter ww1,1074552,1074552,0.85531807,39
1063750,why did the us volunterilay enter ww1,1866486,1866486,0.85429573,40
1063750,why did the us volunterilay enter ww1,5423928,5423928,0.8542882,41
1063750,why did the us volunterilay enter ww1,3327045,3327045,0.85417783,42
1063750,why did the us volunterilay enter ww1,4337529,4337529,0.85380125,43
1063750,why did the us volunterilay enter ww1,1098175,1098175,0.85302776,44
1063750,why did the us volunterilay enter ww1,5002696,5002696,0.85292745,45
1063750,why did the us volunterilay enter ww1,8821736,8821736,0.8526131,46
1063750,why did the us volunterilay enter ww1,4158202,4158202,0.8525721,47
1063750,why did the us volunterilay enter ww1,7571425,7571425,0.8523417,48
1063750,why did the us volunterilay enter ww1,819284,819284,0.85205317,49
1063750,why did the us volunterilay enter ww1,4795722,4795722,0.85192144,50
1063750,why did the us volunterilay enter ww1,2569816,2569816,0.8516331,51
1063750,why did the us volunterilay enter ww1,3477418,3477418,0.8515968,52
1063750,why did the us volunterilay enter ww1,4795723,4795723,0.8515316,53
1063750,why did the us volunterilay enter ww1,6127385,6127385,0.85099024,54
1063750,why did the us volunterilay enter ww1,2768123,2768123,0.8508772,55
1063750,why did the us volunterilay enter ww1,7778351,7778351,0.85048544,56
1063750,why did the us volunterilay enter ww1,4559130,4559130,0.8504211,57
1063750,why did the us volunterilay enter ww1,7959125,7959125,0.8500444,58
1063750,why did the us volunterilay enter ww1,5442711,5442711,0.8492085,59
1063750,why did the us volunterilay enter ww1,3327053,3327053,0.8488933,60
1063750,why did the us volunterilay enter ww1,4487113,4487113,0.84825647,61
1063750,why did the us volunterilay enter ww1,3327047,3327047,0.84803456,62
1063750,why did the us volunterilay enter ww1,1580964,1580964,0.8477231,63
1063750,why did the us volunterilay enter ww1,8239878,8239878,0.8475707,64
1063750,why did the us volunterilay enter ww1,1922590,1922590,0.84756076,65
1063750,why did the us volunterilay enter ww1,7571424,7571424,0.8474542,66
1063750,why did the us volunterilay enter ww1,1580960,1580960,0.84711254,67
1063750,why did the us volunterilay enter ww1,3654231,3654231,0.84705496,68
1063750,why did the us volunterilay enter ww1,2653693,2653693,0.8469045,69
1063750,why did the us volunterilay enter ww1,5423929,5423929,0.846769,70
1063750,why did the us volunterilay enter ww1,2768117,2768117,0.8465413,71
1063750,why did the us volunterilay enter ww1,8418269,8418269,0.84653866,72
1063750,why did the us volunterilay enter ww1,4844348,4844348,0.8463323,73
1063750,why did the us volunterilay enter ww1,3078271,3078271,0.8462982,74
1063750,why did the us volunterilay enter ww1,4802036,4802036,0.8461927,75
1063750,why did the us volunterilay enter ww1,6127387,6127387,0.8459358,76
1063750,why did the us volunterilay enter ww1,8384978,8384978,0.8457813,77
1063750,why did the us volunterilay enter ww1,7959117,7959117,0.8457511,78
1063750,why did the us volunterilay enter ww1,8640240,8640240,0.8457316,79
1063750,why did the us volunterilay enter ww1,4487116,4487116,0.8457028,80
1063750,why did the us volunterilay enter ww1,7571428,7571428,0.8456567,81
1063750,why did the us volunterilay enter ww1,8640242,8640242,0.8455486,82
1063750,why did the us volunterilay enter ww1,3603182,3603182,0.8455253,83
1063750,why did the us volunterilay enter ww1,6331478,6331478,0.84550995,84
1063750,why did the us volunterilay enter ww1,8183810,8183810,0.8454114,85
1063750,why did the us volunterilay enter ww1,7952969,7952969,0.8453078,86
1063750,why did the us volunterilay enter ww1,3654234,3654234,0.8450638,87
1063750,why did the us volunterilay enter ww1,8657914,8657914,0.8450208,88
1063750,why did the us volunterilay enter ww1,3327054,3327054,0.84496623,89
1063750,why did the us volunterilay enter ww1,7304887,7304887,0.8448812,90
1063750,why did the us volunterilay enter ww1,1580962,1580962,0.8447536,91
1063750,why did the us volunterilay enter ww1,8658912,8658912,0.8445801,92
1063750,why did the us volunterilay enter ww1,1580966,1580966,0.84451,93
1063750,why did the us volunterilay enter ww1,330165,330165,0.843961,94
1063750,why did the us volunterilay enter ww1,3259892,3259892,0.843961,95
1063750,why did the us volunterilay enter ww1,2997842,2997842,0.8438258,96
1063750,why did the us volunterilay enter ww1,4788299,4788299,0.8436473,97
1063750,why did the us volunterilay enter ww1,3327049,3327049,0.84335256,98
1063750,why did the us volunterilay enter ww1,5956101,5956101,0.8433058,99
1063750,why did the us volunterilay enter ww1,4718159,4718159,0.8430941,100
1063750,why did the us volunterilay enter ww1,7247264,7247264,0.8429837,101
1063750,why did the us volunterilay enter ww1,7781459,7781459,0.8426596,102
1063750,why did the us volunterilay enter ww1,7742956,7742956,0.8426355,103
1063750,why did the us volunterilay enter ww1,1004963,1004963,0.84261435,104
1063750,why did the us volunterilay enter ww1,5956104,5956104,0.84253883,105
1063750,why did the us volunterilay enter ww1,1923499,1923499,0.84252745,106
1063750,why did the us volunterilay enter ww1,4718161,4718161,0.84250486,107
1063750,why did the us volunterilay enter ww1,330159,330159,0.8422974,108
1063750,why did the us volunterilay enter ww1,143600,143600,0.8420556,109
1063750,why did the us volunterilay enter ww1,5295721,5295721,0.841977,110
1063750,why did the us volunterilay enter ww1,4712119,4712119,0.84194416,111
1063750,why did the us volunterilay enter ww1,8739167,8739167,0.8418983,112
1063750,why did the us volunterilay enter ww1,4487115,4487115,0.84161717,113
1063750,why did the us volunterilay enter ww1,4182558,4182558,0.84155774,114
1063750,why did the us volunterilay enter ww1,8384979,8384979,0.84155154,115
1063750,why did the us volunterilay enter ww1,3327048,3327048,0.8412802,116
1063750,why did the us volunterilay enter ww1,5956103,5956103,0.84122777,117
1063750,why did the us volunterilay enter ww1,602531,602531,0.8412208,118
1063750,why did the us volunterilay enter ww1,2230095,2230095,0.84116125,119
130510,definition declaratory judgment,8612903,8612903,0.93881345,0
130510,definition declaratory judgment,8612910,8612910,0.92960274,1
130510,definition declaratory judgment,8612909,8612909,0.9268554,2
130510,definition declaratory judgment,799647,799647,0.9212089,3
130510,definition declaratory judgment,1494936,1494936,0.91509104,4
130510,definition declaratory judgment,8612906,8612906,0.9009814,5
130510,definition declaratory judgment,8612905,8612905,0.8981327,6
130510,definition declaratory judgment,1494935,1494935,0.89382744,7
130510,definition declaratory judgment,7501558,7501558,0.8927575,8
130510,definition declaratory judgment,1494938,1494938,0.88369143,9
130510,definition declaratory judgment,1494930,1494930,0.8801806,10
130510,definition declaratory judgment,8612902,8612902,0.8782182,11
130510,definition declaratory judgment,7203252,7203252,0.8753456,12
130510,definition declaratory judgment,8612904,8612904,0.87504745,13
130510,definition declaratory judgment,1494939,1494939,0.87022054,14
130510,definition declaratory judgment,7125239,7125239,0.86914694,15
130510,definition declaratory judgment,7501560,7501560,0.86912644,16
130510,definition declaratory judgment,1494937,1494937,0.8690915,17
130510,definition declaratory judgment,1494932,1494932,0.8654351,18
130510,definition declaratory judgment,7501563,7501563,0.8644955,19
130510,definition declaratory judgment,1494931,1494931,0.85734516,20
130510,definition declaratory judgment,4528807,4528807,0.85645807,21
130510,definition declaratory judgment,6815300,6815300,0.8537433,22
130510,definition declaratory judgment,435588,435588,0.8525335,23
130510,definition declaratory judgment,2862515,2862515,0.85100406,24
130510,definition declaratory judgment,996740,996740,0.85075265,25
130510,definition declaratory judgment,5930013,5930013,0.85072696,26
130510,definition declaratory judgment,8083814,8083814,0.85040975,27
130510,definition declaratory judgment,996732,996732,0.85032576,28
130510,definition declaratory judgment,6229733,6229733,0.849367,29
130510,definition declaratory judgment,2982053,2982053,0.8493105,30
130510,definition declaratory judgment,6229732,6229732,0.8471106,31
130510,definition declaratory judgment,5501987,5501987,0.84670603,32
130510,definition declaratory judgment,3913774,3913774,0.846413,33
130510,definition declaratory judgment,783662,783662,0.8460747,34
130510,definition declaratory judgment,4528806,4528806,0.8455864,35
130510,definition declaratory judgment,4804307,4804307,0.8443545,36
130510,definition declaratory judgment,7717233,7717233,0.8424792,37
130510,definition declaratory judgment,1799013,1799013,0.8411855,38
130510,definition declaratory judgment,1494933,1494933,0.8410927,39
130510,definition declaratory judgment,203721,203721,0.84019125,40
130510,definition declaratory judgment,1881838,1881838,0.8393289,41
130510,definition declaratory judgment,5685707,5685707,0.8389367,42
130510,definition declaratory judgment,7501557,7501557,0.8388061,43
130510,definition declaratory judgment,2205994,2205994,0.8385534,44
130510,definition declaratory judgment,3913776,3913776,0.83841443,45
130510,definition declaratory judgment,4748168,4748168,0.83826387,46
130510,definition declaratory judgment,417583,417583,0.8375244,47
130510,definition declaratory judgment,7127694,7127694,0.83731425,48
130510,definition declaratory judgment,2407058,2407058,0.83713156,49
130510,definition declaratory judgment,3913778,3913778,0.8369325,50
130510,definition declaratory judgment,6542824,6542824,0.8355948,51
130510,definition declaratory judgment,1864986,1864986,0.8349639,52
130510,definition declaratory judgment,7136329,7136329,0.83487386,53
130510,definition declaratory judgment,5685705,5685705,0.8342045,54
130510,definition declaratory judgment,3995677,3995677,0.8338827,55
130510,definition declaratory judgment,3272729,3272729,0.833681,56
130510,definition declaratory judgment,2490150,2490150,0.8335978,57
130510,definition declaratory judgment,2205991,2205991,0.8333286,58
130510,definition declaratory judgment,6641846,6641846,0.8327888,59
130510,definition declaratory judgment,1864987,1864987,0.8327446,60
130510,definition declaratory judgment,2496310,2496310,0.83256817,61
130510,definition declaratory judgment,510782,510782,0.8324554,62
130510,definition declaratory judgment,8096481,8096481,0.8322095,63
130510,definition declaratory judgment,6183638,6183638,0.83173895,64
130510,definition declaratory judgment,815703,815703,0.83109397,65
130510,definition declaratory judgment,783664,783664,0.8309036,66
130510,definition declaratory judgment,8180117,8180117,0.8307339,67
130510,definition declaratory judgment,7125238,7125238,0.83053696,68
130510,definition declaratory judgment,6706910,6706910,0.83049715,69
130510,definition declaratory judgment,1972337,1972337,0.8304546,70
130510,definition declaratory judgment,1972340,1972340,0.8303337,71
130510,definition declaratory judgment,8825080,8825080,0.830253,72
130510,definition declaratory judgment,1617455,1617455,0.83024335,73
130510,definition declaratory judgment,8077428,8077428,0.8302121,74
130510,definition declaratory judgment,5363868,5363868,0.8296775,75
130510,definition declaratory judgment,1972338,1972338,0.82952714,76
130510,definition declaratory judgment,3922565,3922565,0.8294936,77
130510,definition declaratory judgment,4528813,4528813,0.82933617,78
130510,definition declaratory judgment,6229727,6229727,0.8287174,79
130510,definition declaratory judgment,4979828,4979828,0.82868624,80
130510,definition declaratory judgment,8617107,8617107,0.8286793,81
130510,definition declaratory judgment,1182848,1182848,0.8284552,82
130510,definition declaratory judgment,4528808,4528808,0.828387,83
130510,definition declaratory judgment,768251,768251,0.8282617,84
130510,definition declaratory judgment,1024747,1024747,0.82824695,85
130510,definition declaratory judgment,768250,768250,0.82813084,86
130510,definition declaratory judgment,7997887,7997887,0.82810104,87
130510,definition declaratory judgment,1972341,1972341,0.82788956,88
130510,definition declaratory judgment,1972336,1972336,0.827739,89
130510,definition declaratory judgment,8514425,8514425,0.8275169,90
130510,definition declaratory judgment,8077424,8077424,0.82734615,91
130510,definition declaratory judgment,4189500,4189500,0.8273386,92
